Cas_Nesrece,PRVR_Vreme,PRSP_Promet,PRPV_Povrsje,stevilka_odseka,mesec,dan,dan_v_tednu
15.0,J,N,SU,354,1,12d,6
18.0,O,N,MO,656,1,10d,4
11.0,J,N,SU,32,1,12d,6
14.0,O,N,SU,1257,1,9d,3
14.0,J,N,SU,414,1,13d,0
11.0,J,N,SU,95,1,10d,4
13.0,O,N,MO,220,1,10d,4
10.0,O,N,SU,21,1,7d,1
13.0,O,N,SU,4326,1,11d,5
11.0,J,R,SU,425,1,11d,5
14.0,J,N,SU,2,1,7d,1
10.0,D,G,MO,1423,1,14d,1
6.0,O,E,SU,2,1,9d,3
12.0,N,E,SU,12,1,13d,0
11.0,D,N,MO,12,1,14d,1
16.0,D,N,MO,4,1,14d,1
21.0,D,N,MO,654,1,14d,1
12.0,O,N,SL,1255,1,8d,2
15.0,D,N,MO,227,1,14d,1
11.0,D,N,MO,1423,1,14d,1
20.0,J,N,SU,638,1,10d,4
14.0,J,N,SU,194,1,10d,4
14.0,O,N,SU,235,1,3d,4
10.0,O,G,SU,283,1,8d,2
7.0,O,R,SU,12,1,13d,0
22.0,O,N,MO,1511,1,10d,4
16.0,O,N,MO,30,1,5d,6
20.0,O,N,MO,6,1,14d,1
17.0,J,E,SU,3,1,10d,4
16.0,D,N,MO,24,1,14d,1
19.0,O,N,SU,329,1,10d,4
22.0,D,E,MO,343,1,14d,1
15.0,O,N,SU,11,1,13d,0
19.0,D,R,MO,494,1,14d,1
13.0,D,N,MO,58,1,14d,1
8.0,M,N,SP,54,1,9d,3
16.0,O,G,MO,36,1,10d,4
12.0,J,N,SU,679,1,10d,4
10.0,O,R,MO,7207,1,14d,1
7.0,M,N,SP,38,1,9d,3
15.0,D,N,MO,9,1,14d,1
8.0,J,N,SU,47,1,13d,0
19.0,D,R,MO,612,1,14d,1
17.0,O,R,MO,1379,1,10d,4
11.0,J,N,SU,38,1,7d,1
10.0,M,N,SU,1302,1,13d,0
21.0,O,E,MO,25,1,10d,4
14.0,J,N,SU,9,1,13d,0
9.0,D,G,SP,1256,1,14d,1
14.0,J,N,SU,76,1,13d,0
11.0,O,N,SU,4,1,14d,1
21.0,J,N,SU,1292,1,15d,2
14.0,J,R,SU,50,1,13d,0
18.0,J,E,SU,27,1,14d,1
15.0,J,N,SU,119,1,13d,0
17.0,D,N,MO,1273,1,5d,6
17.0,N,E,SU,113,1,6d,0
7.0,D,N,SP,1062,1,14d,1
13.0,J,N,MO,3559,1,13d,0
11.0,O,G,SU,105,1,14d,1
10.0,D,G,MO,128,1,14d,1
17.0,D,R,MO,25,1,14d,1
14.0,D,N,MO,18,1,14d,1
10.0,D,N,MO,95,1,14d,1
9.0,O,N,MO,147,1,15d,2
11.0,M,N,MO,810,1,13d,0
14.0,O,N,MO,1423,1,15d,2
22.0,O,N,MO,4,1,2d,3
18.0,D,N,MO,4,1,2d,3
7.0,O,N,MO,1090,1,2d,3
13.0,J,N,SU,370,1,15d,2
6.0,O,N,MO,2,1,6d,0
14.0,D,E,MO,66,1,10d,4
23.0,O,N,MO,10,1,12d,6
2.0,O,N,MO,43,1,12d,6
16.0,D,N,MO,330,1,14d,1
12.0,D,E,MO,18,1,14d,1
17.0,J,R,SU,10,1,7d,1
23.0,O,R,SP,1262,1,14d,1
7.0,J,N,MO,198,1,15d,2
15.0,O,G,MO,92,1,15d,2
18.0,M,N,SU,118,1,9d,3
8.0,O,G,SU,873,1,14d,1
11.0,O,E,SU,51,1,15d,2
17.0,N,E,OS,1541,1,15d,2
10.0,O,N,SU,1426,1,15d,2
7.0,M,G,MO,1397,1,13d,0
22.0,O,R,SU,1480,1,7d,1
20.0,J,N,SU,62,1,15d,2
14.0,D,N,MO,113,1,14d,1
3.0,O,R,SU,47,1,12d,6
18.0,N,E,MO,12,1,15d,2
16.0,N,E,OS,81,1,6d,0
16.0,J,N,SU,371,1,6d,0
11.0,O,N,SU,586,1,9d,3
21.0,N,R,SU,6,1,7d,1
19.0,O,N,SU,210,1,13d,0
18.0,D,N,MO,609,1,15d,2
12.0,N,E,OS,29,1,8d,2
13.0,O,G,SU,12,1,15d,2
12.0,N,E,OS,28,1,13d,0
22.0,J,R,SU,671,1,12d,6
14.0,D,N,MO,1423,1,14d,1
18.0,O,N,SU,34,1,15d,2
8.0,M,R,MO,20,1,9d,3
6.0,D,N,MO,1076,1,14d,1
14.0,O,E,MO,38,1,10d,4
14.0,J,G,SU,367,1,13d,0
13.0,J,G,SU,15,1,6d,0
20.0,O,N,SU,21,1,8d,2
5.0,O,N,MO,239,1,14d,1
12.0,M,N,SU,1298,1,9d,3
11.0,J,G,SU,18,1,16d,3
12.0,J,N,SU,808,1,13d,0
15.0,J,N,SU,97,1,4d,5
12.0,J,N,SU,23,1,16d,3
6.0,M,G,MO,287,1,16d,3
6.0,O,N,SU,1006,1,16d,3
16.0,D,R,MO,2302,1,14d,1
10.0,O,N,MO,10,1,15d,2
11.0,O,N,SU,1259,1,16d,3
11.0,M,N,SU,2,1,9d,3
15.0,O,N,MO,13,1,10d,4
10.0,J,R,SU,34,1,13d,0
12.0,O,N,SU,28,1,16d,3
17.0,O,N,MO,239,1,16d,3
11.0,O,N,SU,297,1,14d,1
16.0,O,E,SU,74,1,15d,2
7.0,O,N,SU,245,1,16d,3
16.0,O,N,MO,34,1,3d,4
16.0,O,R,MO,1047,1,8d,2
12.0,O,E,MO,23,2,7d,4
16.0,J,N,SU,297,1,16d,3
14.0,O,N,MO,10,1,14d,1
20.0,O,N,SU,1318,1,10d,4
11.0,M,N,SU,55,1,9d,3
12.0,D,N,MO,1423,1,17d,4
12.0,O,N,SU,94,1,10d,4
13.0,O,N,MO,20,1,18d,5
14.0,O,N,SU,66,1,18d,5
23.0,M,R,SP,3,1,17d,4
16.0,O,N,SP,1350,1,18d,5
18.0,O,N,MO,6904,1,18d,5
22.0,D,R,MO,13,1,17d,4
15.0,J,N,SU,1286,1,10d,4
13.0,O,N,MO,315,1,17d,4
10.0,D,R,MO,1037,1,17d,4
3.0,O,R,MO,5,1,19d,6
15.0,O,N,MO,66,1,17d,4
22.0,O,N,MO,666,1,17d,4
14.0,D,N,MO,1268,1,14d,1
9.0,D,N,MO,31,1,14d,1
7.0,O,N,MO,21,1,15d,2
13.0,D,G,MO,103,1,17d,4
23.0,O,N,MO,6,1,18d,5
12.0,O,N,SU,114,1,7d,1
8.0,O,N,SU,4,1,10d,4
15.0,J,E,SU,4,1,9d,3
13.0,D,R,MO,1045,1,18d,5
17.0,D,G,MO,23,1,14d,1
14.0,O,N,SU,114,1,7d,1
20.0,O,N,MO,4,1,18d,5
12.0,D,R,MO,4,1,19d,6
3.0,J,R,SU,1085,1,12d,6
21.0,J,N,SU,314,1,17d,4
11.0,J,N,SU,72,1,11d,5
6.0,O,G,MO,5,1,17d,4
14.0,D,N,MO,6904,1,17d,4
14.0,O,N,MO,1400,1,17d,4
